issuer,metric,period_end,value,form,fy,fp,frame
Bank of America,net_income,2017-03-31,4856000000,10-Q,2017.0,Q1,
Bank of America,net_income,2017-06-30,10125000000,10-Q,2017.0,Q2,
Bank of America,net_income,2017-09-30,15712000000,10-Q,2017.0,Q3,
Bank of America,net_income,2017-12-31,18232000000,10-K,2017.0,FY,
Bank of America,net_income,2018-03-31,6918000000,10-Q,2018.0,Q1,
Bank of America,net_income,2018-06-30,13702000000,10-Q,2018.0,Q2,
Bank of America,net_income,2018-09-30,20869000000,10-Q,2018.0,Q3,
Bank of America,net_income,2018-12-31,28147000000,10-K,2018.0,FY,
Bank of America,net_income,2019-03-31,7311000000,10-Q,2019.0,Q1,
Bank of America,net_income,2019-06-30,14659000000,10-Q,2019.0,Q2,
Bank of America,net_income,2019-09-30,20436000000,10-Q,2019.0,Q3,
Bank of America,net_income,2019-12-31,27430000000,10-K,2019.0,FY,
Bank of America,net_income,2020-03-31,4010000000,10-Q,2020.0,Q1,
Bank of America,net_income,2020-06-30,7543000000,10-Q,2020.0,Q2,
Bank of America,net_income,2020-09-30,12424000000,10-Q,2020.0,Q3,
Bank of America,net_income,2020-12-31,17894000000,10-K,2020.0,FY,
Bank of America,net_income,2021-03-31,8050000000,10-Q,2021.0,Q1,
Bank of America,net_income,2021-06-30,17274000000,10-Q,2021.0,Q2,
Bank of America,net_income,2021-09-30,24965000000,10-Q,2021.0,Q3,
Bank of America,net_income,2021-12-31,31978000000,10-K,2021.0,FY,
Bank of America,net_income,2022-03-31,7067000000,10-Q,2022.0,Q1,
Bank of America,net_income,2022-06-30,13314000000,10-Q,2022.0,Q2,
Bank of America,net_income,2022-09-30,20396000000,10-Q,2022.0,Q3,
Bank of America,net_income,2022-12-31,27528000000,10-K,2022.0,FY,
Bank of America,net_income,2023-03-31,8161000000,10-Q,2023.0,Q1,
Bank of America,net_income,2023-06-30,15569000000,10-Q,2023.0,Q2,
Bank of America,net_income,2023-09-30,23371000000,10-Q,2023.0,Q3,
Bank of America,net_income,2023-12-31,26515000000,10-K,2023.0,FY,
Bank of America,net_income,2024-03-31,6674000000,10-Q,2024.0,Q1,
Bank of America,net_income,2024-06-30,13571000000,10-Q,2024.0,Q2,
Bank of America,net_income,2024-09-30,20467000000,10-Q,2024.0,Q3,
Bank of America,net_income,2024-12-31,27132000000,10-K,2024.0,FY,
Bank of America,net_income,2025-03-31,7396000000,10-Q,2025.0,Q1,
Bank of America,net_income,2025-06-30,14512000000,10-Q,2025.0,Q2,
Bank of America,net_income,2025-09-30,22981000000,10-Q,2025.0,Q3,
Bank of America,net_income,2025-12-31,30509000000,10-K,2025.0,FY,CY2025
Bank of America,net_income,2026-03-31,8584000000,10-Q,2026.0,Q1,CY2026Q1
Bank of America,total_revenue,2007-12-31,66833000000,10-K,2009.0,FY,CY2007
Bank of America,total_revenue,2008-06-30,37481000000,10-Q,2009.0,Q2,
Bank of America,total_revenue,2008-09-30,57102000000,10-Q,2009.0,Q3,
Bank of America,total_revenue,2008-12-31,72782000000,10-K,2009.0,FY,
Bank of America,total_revenue,2009-03-31,35758000000,10-Q,2010.0,Q1,CY2009Q1
Bank of America,total_revenue,2009-06-30,68532000000,10-Q,2009.0,Q2,
Bank of America,total_revenue,2009-09-30,94567000000,10-Q,2009.0,Q3,
Bank of America,total_revenue,2009-12-31,119643000000,10-K,2009.0,FY,
Bank of America,total_revenue,2010-03-31,31969000000,10-Q,2010.0,Q1,
Bank of America,total_revenue,2010-06-30,61122000000,10-Q,2010.0,Q2,
Bank of America,total_revenue,2010-09-30,87822000000,10-Q,2010.0,Q3,
Bank of America,total_revenue,2010-12-31,110220000000,10-K,2010.0,FY,
Bank of America,total_revenue,2010-12-31,110220000000,10-Q,2011.0,Q1,
Bank of America,total_revenue,2011-03-31,26877000000,10-Q,2011.0,Q1,
Bank of America,total_revenue,2011-06-30,40113000000,10-Q,2011.0,Q2,
Bank of America,total_revenue,2011-09-30,68566000000,10-Q,2011.0,Q3,
Bank of America,total_revenue,2011-12-31,93454000000,10-K,2011.0,FY,
Bank of America,total_revenue,2012-03-31,22278000000,10-Q,2012.0,Q1,
Bank of America,total_revenue,2012-06-30,44246000000,10-Q,2012.0,Q2,
Bank of America,total_revenue,2012-09-30,64674000000,10-Q,2012.0,Q3,
Bank of America,total_revenue,2012-12-31,83334000000,10-K,2012.0,FY,
Bank of America,total_revenue,2013-03-31,23197000000,10-Q,2013.0,Q1,
Bank of America,total_revenue,2013-06-30,45924000000,10-Q,2013.0,Q2,
Bank of America,total_revenue,2013-09-30,67454000000,10-Q,2013.0,Q3,
Bank of America,total_revenue,2013-12-31,88942000000,10-K,2013.0,FY,
Bank of America,total_revenue,2014-03-31,22566000000,10-Q,2014.0,Q1,
Bank of America,total_revenue,2014-06-30,44313000000,10-Q,2014.0,Q2,
Bank of America,total_revenue,2014-09-30,65522000000,10-Q,2014.0,Q3,
Bank of America,total_revenue,2014-12-31,84247000000,10-K,2014.0,FY,
Bank of America,total_revenue,2015-03-31,21202000000,10-Q,2015.0,Q1,
Bank of America,total_revenue,2015-06-30,43319000000,10-Q,2015.0,Q2,
Bank of America,total_revenue,2015-09-30,64001000000,10-Q,2015.0,Q3,
Bank of America,total_revenue,2015-12-31,82507000000,10-K,2015.0,FY,
Bank of America,total_revenue,2016-03-31,19512000000,10-Q,2016.0,Q1,
Bank of America,total_revenue,2016-06-30,39910000000,10-Q,2016.0,Q2,
Bank of America,total_revenue,2016-09-30,63711000000,10-Q,2016.0,Q3,
Bank of America,total_revenue,2016-12-31,83701000000,10-K,2016.0,FY,
Bank of America,total_revenue,2017-03-31,22248000000,10-Q,2017.0,Q1,
Bank of America,total_revenue,2017-06-30,45077000000,10-Q,2017.0,Q2,
Bank of America,total_revenue,2017-09-30,66916000000,10-Q,2017.0,Q3,
Bank of America,total_revenue,2017-12-31,87352000000,10-K,2017.0,FY,
Bank of America,total_revenue,2018-03-31,23125000000,10-Q,2018.0,Q1,
Bank of America,total_revenue,2018-06-30,45734000000,10-Q,2018.0,Q2,
Bank of America,total_revenue,2018-09-30,68511000000,10-Q,2018.0,Q3,
Bank of America,total_revenue,2018-12-31,91247000000,10-K,2018.0,FY,
Bank of America,total_revenue,2019-03-31,23004000000,10-Q,2019.0,Q1,
Bank of America,total_revenue,2019-06-30,46088000000,10-Q,2019.0,Q2,
Bank of America,total_revenue,2019-09-30,68895000000,10-Q,2019.0,Q3,
Bank of America,total_revenue,2019-12-31,91244000000,10-K,2019.0,FY,
Bank of America,total_revenue,2020-03-31,22767000000,10-Q,2020.0,Q1,
Bank of America,total_revenue,2020-06-30,45093000000,10-Q,2020.0,Q2,
Bank of America,total_revenue,2020-09-30,65429000000,10-Q,2020.0,Q3,
Bank of America,total_revenue,2020-12-31,85528000000,10-K,2020.0,FY,
Bank of America,total_revenue,2021-03-31,22821000000,10-Q,2021.0,Q1,
Bank of America,total_revenue,2021-06-30,44287000000,10-Q,2021.0,Q2,
Bank of America,total_revenue,2021-09-30,67053000000,10-Q,2021.0,Q3,
Bank of America,total_revenue,2021-12-31,89113000000,10-K,2021.0,FY,
Bank of America,total_revenue,2022-03-31,23228000000,10-Q,2022.0,Q1,
Bank of America,total_revenue,2022-06-30,45916000000,10-Q,2022.0,Q2,
Bank of America,total_revenue,2022-09-30,70418000000,10-Q,2022.0,Q3,
Bank of America,total_revenue,2022-12-31,94950000000,10-K,2022.0,FY,
Bank of America,total_revenue,2023-03-31,26258000000,10-Q,2023.0,Q1,
Bank of America,total_revenue,2023-06-30,51455000000,10-Q,2023.0,Q2,
Bank of America,total_revenue,2023-09-30,76622000000,10-Q,2023.0,Q3,
Bank of America,total_revenue,2023-12-31,98581000000,10-K,2023.0,FY,
Bank of America,total_revenue,2024-03-31,25818000000,10-Q,2024.0,Q1,
Bank of America,total_revenue,2024-06-30,51195000000,10-Q,2024.0,Q2,
Bank of America,total_revenue,2024-09-30,76540000000,10-Q,2024.0,Q3,
Bank of America,total_revenue,2024-12-31,101887000000,10-K,2024.0,FY,
Bank of America,total_revenue,2025-03-31,27366000000,10-Q,2025.0,Q1,
Bank of America,total_revenue,2025-06-30,53829000000,10-Q,2025.0,Q2,
Bank of America,total_revenue,2025-09-30,81917000000,10-Q,2025.0,Q3,
Bank of America,total_revenue,2025-12-31,113097000000,10-K,2025.0,FY,CY2025
Bank of America,total_revenue,2026-03-31,30272000000,10-Q,2026.0,Q1,CY2026Q1
Bank of America,stockholders_equity,2006-12-31,135272000000,10-K,2009.0,FY,CY2006Q4I
Bank of America,stockholders_equity,2007-12-31,146803000000,10-Q,2009.0,Q2,
Bank of America,stockholders_equity,2007-12-31,146803000000,10-K,2009.0,FY,
Bank of America,stockholders_equity,2008-06-30,162691000000,10-Q,2009.0,Q2,CY2008Q2I
Bank of America,stockholders_equity,2008-09-30,161039000000,10-Q,2009.0,Q3,CY2008Q3I
Bank of America,stockholders_equity,2008-12-31,177052000000,10-Q,2009.0,Q2,
Bank of America,stockholders_equity,2008-12-31,177052000000,10-K,2009.0,FY,
Bank of America,stockholders_equity,2009-03-31,239549000000,10-Q,2010.0,Q1,CY2009Q1I
Bank of America,stockholders_equity,2009-06-30,255152000000,10-Q,2009.0,Q2,
Bank of America,stockholders_equity,2009-09-30,257683000000,10-Q,2009.0,Q3,
Bank of America,stockholders_equity,2009-12-31,231444000000,10-K,2009.0,FY,
Bank of America,stockholders_equity,2009-12-31,231444000000,10-Q,2010.0,Q1,
Bank of America,stockholders_equity,2010-03-31,229823000000,10-Q,2010.0,Q1,
Bank of America,stockholders_equity,2010-06-30,233174000000,10-Q,2010.0,Q2,
Bank of America,stockholders_equity,2010-09-30,230495000000,10-Q,2010.0,Q3,
Bank of America,stockholders_equity,2010-12-31,228248000000,10-K,2010.0,FY,
Bank of America,stockholders_equity,2010-12-31,228248000000,10-Q,2011.0,Q1,
Bank of America,stockholders_equity,2011-03-31,230876000000,10-Q,2011.0,Q1,
Bank of America,stockholders_equity,2011-06-30,222176000000,10-Q,2011.0,Q2,
Bank of America,stockholders_equity,2011-09-30,230252000000,10-Q,2011.0,Q3,
Bank of America,stockholders_equity,2011-12-31,230101000000,10-K,2011.0,FY,
Bank of America,stockholders_equity,2011-12-31,230101000000,10-Q,2012.0,Q1,
Bank of America,stockholders_equity,2012-03-31,232499000000,10-Q,2012.0,Q1,
Bank of America,stockholders_equity,2012-06-30,235975000000,10-Q,2012.0,Q2,
Bank of America,stockholders_equity,2012-09-30,238606000000,10-Q,2012.0,Q3,
Bank of America,stockholders_equity,2012-12-31,236956000000,10-K,2012.0,FY,
Bank of America,stockholders_equity,2012-12-31,236956000000,10-Q,2013.0,Q1,
Bank of America,stockholders_equity,2013-03-31,237293000000,10-Q,2013.0,Q1,
Bank of America,stockholders_equity,2013-06-30,231032000000,10-Q,2013.0,Q2,
Bank of America,stockholders_equity,2013-09-30,232282000000,10-Q,2013.0,Q3,CY2013Q3I
Bank of America,stockholders_equity,2013-12-31,232685000000,10-K,2013.0,FY,
Bank of America,stockholders_equity,2013-12-31,232685000000,10-Q,2014.0,Q1,
Bank of America,stockholders_equity,2014-03-31,231888000000,10-Q,2014.0,Q1,
Bank of America,stockholders_equity,2014-06-30,237411000000,10-Q,2014.0,Q2,
Bank of America,stockholders_equity,2014-09-30,238681000000,10-Q,2014.0,Q3,
Bank of America,stockholders_equity,2014-12-31,243471000000,10-K,2014.0,FY,
Bank of America,stockholders_equity,2014-12-31,243471000000,10-Q,2015.0,Q1,
Bank of America,stockholders_equity,2015-03-31,250188000000,10-Q,2015.0,Q1,
Bank of America,stockholders_equity,2015-06-30,251659000000,10-Q,2015.0,Q2,
Bank of America,stockholders_equity,2015-09-30,255905000000,10-Q,2015.0,Q3,
Bank of America,stockholders_equity,2015-12-31,256205000000,10-K,2015.0,FY,
Bank of America,stockholders_equity,2015-12-31,256205000000,10-Q,2016.0,Q1,
Bank of America,stockholders_equity,2016-03-31,262776000000,10-Q,2016.0,Q1,
Bank of America,stockholders_equity,2016-06-30,267069000000,10-Q,2016.0,Q2,
Bank of America,stockholders_equity,2016-09-30,270083000000,10-Q,2016.0,Q3,
Bank of America,stockholders_equity,2016-12-31,266840000000,10-K,2016.0,FY,
Bank of America,stockholders_equity,2016-12-31,266840000000,10-Q,2017.0,Q1,
Bank of America,stockholders_equity,2017-03-31,268153000000,10-Q,2017.0,Q1,
Bank of America,stockholders_equity,2017-06-30,270987000000,10-Q,2017.0,Q2,
Bank of America,stockholders_equity,2017-09-30,272459000000,10-Q,2017.0,Q3,
Bank of America,stockholders_equity,2017-12-31,267146000000,10-K,2017.0,FY,
Bank of America,stockholders_equity,2017-12-31,267146000000,10-Q,2018.0,Q1,
Bank of America,stockholders_equity,2018-03-31,266224000000,10-Q,2018.0,Q1,
Bank of America,stockholders_equity,2018-06-30,264216000000,10-Q,2018.0,Q2,
Bank of America,stockholders_equity,2018-09-30,262158000000,10-Q,2018.0,Q3,
Bank of America,stockholders_equity,2018-12-31,265325000000,10-K,2018.0,FY,
Bank of America,stockholders_equity,2018-12-31,265325000000,10-Q,2019.0,Q1,
Bank of America,stockholders_equity,2019-03-31,267010000000,10-Q,2019.0,Q1,
Bank of America,stockholders_equity,2019-06-30,271408000000,10-Q,2019.0,Q2,
Bank of America,stockholders_equity,2019-09-30,268387000000,10-Q,2019.0,Q3,
Bank of America,stockholders_equity,2019-12-31,264810000000,10-K,2019.0,FY,
Bank of America,stockholders_equity,2019-12-31,264810000000,10-Q,2020.0,Q1,
Bank of America,stockholders_equity,2020-03-31,264918000000,10-Q,2020.0,Q1,
Bank of America,stockholders_equity,2020-06-30,265637000000,10-Q,2020.0,Q2,
Bank of America,stockholders_equity,2020-09-30,268850000000,10-Q,2020.0,Q3,
Bank of America,stockholders_equity,2020-12-31,272924000000,10-K,2020.0,FY,
Bank of America,stockholders_equity,2020-12-31,272924000000,10-Q,2021.0,Q1,
Bank of America,stockholders_equity,2021-03-31,274000000000,10-Q,2021.0,Q1,
Bank of America,stockholders_equity,2021-06-30,277119000000,10-Q,2021.0,Q2,
Bank of America,stockholders_equity,2021-09-30,272464000000,10-Q,2021.0,Q3,
Bank of America,stockholders_equity,2021-12-31,270066000000,10-K,2021.0,FY,
Bank of America,stockholders_equity,2021-12-31,270066000000,10-Q,2022.0,Q1,
Bank of America,stockholders_equity,2022-03-31,266617000000,10-Q,2022.0,Q1,
Bank of America,stockholders_equity,2022-06-30,269118000000,10-Q,2022.0,Q2,
Bank of America,stockholders_equity,2022-09-30,269524000000,10-Q,2022.0,Q3,
Bank of America,stockholders_equity,2022-12-31,273197000000,10-K,2022.0,FY,
Bank of America,stockholders_equity,2022-12-31,273197000000,10-Q,2023.0,Q1,
Bank of America,stockholders_equity,2023-03-31,280196000000,10-Q,2023.0,Q1,
Bank of America,stockholders_equity,2023-06-30,283319000000,10-Q,2023.0,Q2,
Bank of America,stockholders_equity,2023-09-30,287064000000,10-Q,2023.0,Q3,
Bank of America,stockholders_equity,2023-12-31,291646000000,10-K,2023.0,FY,
Bank of America,stockholders_equity,2023-12-31,291646000000,10-Q,2024.0,Q1,
Bank of America,stockholders_equity,2024-03-31,293552000000,10-Q,2024.0,Q1,
Bank of America,stockholders_equity,2024-06-30,293892000000,10-Q,2024.0,Q2,
Bank of America,stockholders_equity,2024-09-30,296512000000,10-Q,2024.0,Q3,
Bank of America,stockholders_equity,2024-12-31,295559000000,10-K,2024.0,FY,
Bank of America,stockholders_equity,2024-12-31,295559000000,10-Q,2025.0,Q1,
Bank of America,stockholders_equity,2025-03-31,295581000000,10-Q,2025.0,Q1,
Bank of America,stockholders_equity,2025-06-30,299599000000,10-Q,2025.0,Q2,
Bank of America,stockholders_equity,2025-09-30,304152000000,10-Q,2025.0,Q3,CY2025Q3I
Bank of America,stockholders_equity,2025-12-31,303243000000,10-K,2025.0,FY,
Bank of America,stockholders_equity,2025-12-31,303243000000,10-Q,2026.0,Q1,CY2025Q4I
Bank of America,stockholders_equity,2026-03-31,300668000000,10-Q,2026.0,Q1,CY2026Q1I
Citigroup,total_assets,2008-12-31,1938470000000,10-Q,2009.0,Q3,
Citigroup,total_assets,2008-12-31,1938470000000,10-K,2009.0,FY,CY2008Q4I
Citigroup,total_assets,2009-09-30,1888599000000,10-Q,2009.0,Q3,CY2009Q3I
Citigroup,total_assets,2009-12-31,1856646000000,10-K,2009.0,FY,
Citigroup,total_assets,2009-12-31,1856646000000,10-Q,2010.0,Q1,
Citigroup,total_assets,2010-03-31,2002213000000,10-Q,2010.0,Q1,CY2010Q1I
Citigroup,total_assets,2010-06-30,1937656000000,10-Q,2010.0,Q2,CY2010Q2I
Citigroup,total_assets,2010-09-30,1983280000000,10-Q,2010.0,Q3,CY2010Q3I
Citigroup,total_assets,2010-12-31,1913902000000,10-K,2010.0,FY,
Citigroup,total_assets,2010-12-31,1913902000000,10-Q,2011.0,Q1,
Citigroup,total_assets,2011-03-31,1947815000000,10-Q,2011.0,Q1,CY2011Q1I
Citigroup,total_assets,2011-06-30,1956626000000,10-Q,2011.0,Q2,CY2011Q2I
Citigroup,total_assets,2011-09-30,1935992000000,10-Q,2011.0,Q3,CY2011Q3I
Citigroup,total_assets,2011-12-31,1873878000000,10-K,2011.0,FY,
Citigroup,total_assets,2011-12-31,1873878000000,10-Q,2012.0,Q1,
Citigroup,total_assets,2012-03-31,1944423000000,10-Q,2012.0,Q1,CY2012Q1I
Citigroup,total_assets,2012-06-30,1916451000000,10-Q,2012.0,Q2,CY2012Q2I
Citigroup,total_assets,2012-09-30,1931346000000,10-Q,2012.0,Q3,CY2012Q3I
Citigroup,total_assets,2012-12-31,1864660000000,10-K,2012.0,FY,
Citigroup,total_assets,2012-12-31,1864660000000,10-Q,2013.0,Q1,
Citigroup,total_assets,2013-03-31,1881734000000,10-Q,2013.0,Q1,CY2013Q1I
Citigroup,total_assets,2013-06-30,1883988000000,10-Q,2013.0,Q2,CY2013Q2I
Citigroup,total_assets,2013-09-30,1899511000000,10-Q,2013.0,Q3,CY2013Q3I
Citigroup,total_assets,2013-12-31,1880382000000,10-K,2013.0,FY,
Citigroup,total_assets,2013-12-31,1880382000000,10-Q,2014.0,Q1,
Citigroup,total_assets,2014-03-31,1894736000000,10-Q,2014.0,Q1,CY2014Q1I
Citigroup,total_assets,2014-06-30,1909715000000,10-Q,2014.0,Q2,CY2014Q2I
Citigroup,total_assets,2014-09-30,1882849000000,10-Q,2014.0,Q3,CY2014Q3I
Citigroup,total_assets,2014-12-31,1842530000000,10-K,2014.0,FY,
Citigroup,total_assets,2014-12-31,1842181000000,10-Q,2015.0,Q1,
Citigroup,total_assets,2015-03-31,1831801000000,10-Q,2015.0,Q1,CY2015Q1I
Citigroup,total_assets,2015-06-30,1829370000000,10-Q,2015.0,Q2,CY2015Q2I
Citigroup,total_assets,2015-09-30,1808356000000,10-Q,2015.0,Q3,CY2015Q3I
Citigroup,total_assets,2015-12-31,1731210000000,10-K,2015.0,FY,
Citigroup,total_assets,2015-12-31,1731210000000,10-Q,2016.0,Q1,
Citigroup,total_assets,2016-03-31,1800967000000,10-Q,2016.0,Q1,CY2016Q1I
Citigroup,total_assets,2016-06-30,1818771000000,10-Q,2016.0,Q2,CY2016Q2I
Citigroup,total_assets,2016-09-30,1818117000000,10-Q,2016.0,Q3,CY2016Q3I
Citigroup,total_assets,2016-12-31,1792077000000,10-K,2016.0,FY,
Citigroup,total_assets,2016-12-31,1792077000000,10-Q,2017.0,Q1,
Citigroup,total_assets,2017-03-31,1821635000000,10-Q,2017.0,Q1,CY2017Q1I
Citigroup,total_assets,2017-06-30,1864063000000,10-Q,2017.0,Q2,CY2017Q2I
Citigroup,total_assets,2017-09-30,1889133000000,10-Q,2017.0,Q3,CY2017Q3I
Citigroup,total_assets,2017-12-31,1842465000000,10-K,2017.0,FY,
Citigroup,total_assets,2017-12-31,1842465000000,10-Q,2018.0,Q1,
Citigroup,total_assets,2018-03-31,1922104000000,10-Q,2018.0,Q1,CY2018Q1I
Citigroup,total_assets,2018-06-30,1912334000000,10-Q,2018.0,Q2,CY2018Q2I
Citigroup,total_assets,2018-09-30,1925165000000,10-Q,2018.0,Q3,CY2018Q3I
Citigroup,total_assets,2018-12-31,1917383000000,10-K,2018.0,FY,
Citigroup,total_assets,2018-12-31,1917383000000,10-Q,2019.0,Q1,
Citigroup,total_assets,2019-03-31,1958413000000,10-Q,2019.0,Q1,CY2019Q1I
Citigroup,total_assets,2019-06-30,1988226000000,10-Q,2019.0,Q2,CY2019Q2I
Citigroup,total_assets,2019-09-30,2014802000000,10-Q,2019.0,Q3,CY2019Q3I
Citigroup,total_assets,2019-12-31,1951158000000,10-K,2019.0,FY,
Citigroup,total_assets,2019-12-31,1951158000000,10-Q,2020.0,Q1,
Citigroup,total_assets,2020-03-31,2219770000000,10-Q,2020.0,Q1,CY2020Q1I
Citigroup,total_assets,2020-06-30,2232715000000,10-Q,2020.0,Q2,CY2020Q2I
Citigroup,total_assets,2020-09-30,2234459000000,10-Q,2020.0,Q3,CY2020Q3I
Citigroup,total_assets,2020-12-31,2260090000000,10-K,2020.0,FY,
Citigroup,total_assets,2020-12-31,2260090000000,10-Q,2021.0,Q1,
Citigroup,total_assets,2021-03-31,2314266000000,10-Q,2021.0,Q1,
Citigroup,total_assets,2021-06-30,2327868000000,10-Q,2021.0,Q2,
Citigroup,total_assets,2021-09-30,2361876000000,10-Q,2021.0,Q3,CY2021Q3I
Citigroup,total_assets,2021-12-31,2291413000000,10-K,2021.0,FY,
Citigroup,total_assets,2021-12-31,2291413000000,10-Q,2022.0,Q1,
Citigroup,total_assets,2022-03-31,2394105000000,10-Q,2022.0,Q1,CY2022Q1I
Citigroup,total_assets,2022-06-30,2380904000000,10-Q,2022.0,Q2,CY2022Q2I
Citigroup,total_assets,2022-09-30,2381064000000,10-Q,2022.0,Q3,CY2022Q3I
Citigroup,total_assets,2022-12-31,2416676000000,10-K,2022.0,FY,
Citigroup,total_assets,2022-12-31,2416676000000,10-Q,2023.0,Q1,
Citigroup,total_assets,2023-03-31,2455113000000,10-Q,2023.0,Q1,CY2023Q1I
Citigroup,total_assets,2023-06-30,2423675000000,10-Q,2023.0,Q2,CY2023Q2I
Citigroup,total_assets,2023-09-30,2368477000000,10-Q,2023.0,Q3,CY2023Q3I
Citigroup,total_assets,2023-12-31,2411834000000,10-K,2023.0,FY,
Citigroup,total_assets,2023-12-31,2411834000000,10-Q,2024.0,Q1,
Citigroup,total_assets,2024-03-31,2432510000000,10-Q,2024.0,Q1,CY2024Q1I
Citigroup,total_assets,2024-06-30,2405686000000,10-Q,2024.0,Q2,CY2024Q2I
Citigroup,total_assets,2024-09-30,2430663000000,10-Q,2024.0,Q3,CY2024Q3I
Citigroup,total_assets,2024-12-31,2352945000000,10-K,2024.0,FY,
Citigroup,total_assets,2024-12-31,2352945000000,10-Q,2025.0,Q1,
Citigroup,total_assets,2025-03-31,2571514000000,10-Q,2025.0,Q1,CY2025Q1I
Citigroup,total_assets,2025-06-30,2622772000000,10-Q,2025.0,Q2,CY2025Q2I
Citigroup,total_assets,2025-09-30,2642475000000,10-Q,2025.0,Q3,CY2025Q3I
Citigroup,total_assets,2025-12-31,2657202000000,10-K,2025.0,FY,CY2025Q4I
Citigroup,net_income,2007-12-31,3617000000,10-K,2009.0,FY,CY2007
Citigroup,net_income,2008-09-30,-10421000000,10-Q,2009.0,Q3,
Citigroup,net_income,2008-12-31,-27684000000,10-K,2009.0,FY,
Citigroup,net_income,2009-03-31,1593000000,10-Q,2010.0,Q1,
Citigroup,net_income,2009-03-31,1593000000,10-K,2010.0,FY,CY2009Q1
Citigroup,net_income,2009-06-30,5872000000,10-Q,2010.0,Q2,
Citigroup,net_income,2009-06-30,4279000000,10-K,2010.0,FY,CY2009Q2
Citigroup,net_income,2009-09-30,5973000000,10-Q,2009.0,Q3,
Citigroup,net_income,2009-09-30,101000000,10-K,2010.0,FY,CY2009Q3
Citigroup,net_income,2009-12-31,-1606000000,10-K,2009.0,FY,
Citigroup,net_income,2010-03-31,4428000000,10-Q,2010.0,Q1,
Citigroup,net_income,2010-03-31,4428000000,10-K,2010.0,FY,
Citigroup,net_income,2010-06-30,7125000000,10-Q,2010.0,Q2,
Citigroup,net_income,2010-06-30,2697000000,10-K,2010.0,FY,
Citigroup,net_income,2010-09-30,9293000000,10-Q,2010.0,Q3,
Citigroup,net_income,2010-09-30,2168000000,10-K,2010.0,FY,
Citigroup,net_income,2010-12-31,10602000000,10-K,2010.0,FY,
Citigroup,net_income,2011-03-31,2999000000,10-Q,2011.0,Q1,
Citigroup,net_income,2011-03-31,2999000000,10-K,2011.0,FY,
Citigroup,net_income,2011-06-30,6340000000,10-Q,2011.0,Q2,
Citigroup,net_income,2011-06-30,3341000000,10-K,2011.0,FY,
Citigroup,net_income,2011-09-30,10111000000,10-Q,2011.0,Q3,
Citigroup,net_income,2011-09-30,3771000000,10-K,2011.0,FY,
Citigroup,net_income,2011-12-31,11067000000,10-K,2011.0,FY,
Citigroup,net_income,2012-03-31,2931000000,10-Q,2012.0,Q1,
Citigroup,net_income,2012-03-31,2931000000,10-K,2012.0,FY,
Citigroup,net_income,2012-06-30,5877000000,10-Q,2012.0,Q2,
Citigroup,net_income,2012-06-30,2946000000,10-K,2012.0,FY,
Citigroup,net_income,2012-09-30,6345000000,10-Q,2012.0,Q3,
Citigroup,net_income,2012-09-30,468000000,10-K,2012.0,FY,
Citigroup,net_income,2012-12-31,7541000000,10-K,2012.0,FY,
Citigroup,net_income,2013-03-31,3808000000,10-Q,2013.0,Q1,
Citigroup,net_income,2013-03-31,3808000000,10-K,2013.0,FY,
Citigroup,net_income,2013-06-30,7990000000,10-Q,2013.0,Q2,
Citigroup,net_income,2013-06-30,4182000000,10-K,2013.0,FY,
Citigroup,net_income,2013-09-30,11217000000,10-Q,2013.0,Q3,
Citigroup,net_income,2013-09-30,3227000000,10-K,2013.0,FY,
Citigroup,net_income,2013-12-31,13673000000,10-K,2013.0,FY,
Citigroup,net_income,2014-03-31,3943000000,10-Q,2014.0,Q1,
Citigroup,net_income,2014-03-31,3943000000,10-K,2014.0,FY,
Citigroup,net_income,2014-06-30,4124000000,10-Q,2014.0,Q2,
Citigroup,net_income,2014-06-30,181000000,10-K,2014.0,FY,
Citigroup,net_income,2014-09-30,6963000000,10-Q,2014.0,Q3,
Citigroup,net_income,2014-09-30,2839000000,10-K,2014.0,FY,
Citigroup,net_income,2014-12-31,7313000000,10-K,2014.0,FY,
Citigroup,net_income,2015-03-31,4770000000,10-Q,2015.0,Q1,
Citigroup,net_income,2015-03-31,4770000000,10-K,2015.0,FY,
Citigroup,net_income,2015-06-30,9616000000,10-Q,2015.0,Q2,
Citigroup,net_income,2015-06-30,4846000000,10-K,2015.0,FY,
Citigroup,net_income,2015-09-30,13907000000,10-Q,2015.0,Q3,
Citigroup,net_income,2015-09-30,4291000000,10-K,2015.0,FY,
Citigroup,net_income,2015-12-31,17242000000,10-K,2015.0,FY,
Citigroup,net_income,2016-03-31,3501000000,10-Q,2016.0,Q1,
Citigroup,net_income,2016-03-31,3501000000,10-K,2016.0,FY,
Citigroup,net_income,2016-06-30,7499000000,10-Q,2016.0,Q2,
Citigroup,net_income,2016-06-30,3998000000,10-K,2016.0,FY,
Citigroup,net_income,2016-09-30,11339000000,10-Q,2016.0,Q3,
Citigroup,net_income,2016-09-30,3840000000,10-K,2016.0,FY,
Citigroup,net_income,2016-12-31,14912000000,10-K,2016.0,FY,
Citigroup,net_income,2017-03-31,4090000000,10-Q,2017.0,Q1,
Citigroup,net_income,2017-03-31,4090000000,10-K,2017.0,FY,
Citigroup,net_income,2017-06-30,7962000000,10-Q,2017.0,Q2,
